respondent_id,age,gender,region,monthly_income_band,household_size,primary_shopping_channel,most_purchased_category,monthly_fmcg_spend_idr,purchase_frequency_per_month,brand_switching_frequency,promotion_response,price_sensitivity_1,price_sensitivity_2,price_sensitivity_3,quality_orientation_1,quality_orientation_2,quality_orientation_3,health_orientation_1,health_orientation_2,health_orientation_3,sustainability_orientation_1,sustainability_orientation_2,sustainability_orientation_3,digital_influence_1,digital_influence_2,digital_influence_3,convenience_orientation_1,convenience_orientation_2,convenience_orientation_3,brand_trust_1,brand_trust_2,brand_trust_3,new_product_intention_1,new_product_intention_2,new_product_intention_3
R0001,18,Man,Java,IDR 10–20M,2,E-commerce,Personal care,950000,9,Sometimes,5.0,3,2,3,4,4,4,2,3,3,3,4,3.0,4,5,5,4,4,4,3,4,3,4,4,4
R0002,30,Woman,Java,IDR 5–10M,3,Minimarket,Home care,810000,6,Rarely,3.0,4,4,4,4,3,2,3,3,3,3,3,3.0,3,4,3,4,4,4,3,3,3,3,3,3
R0003,33,Man,Sumatra,> IDR 20M,3,Supermarket,Food & beverages,1520000,8,Rarely,4.0,3,3,3,4,4,5,4,5,4,4,4,3.0,3,3,4,4,5,4,4,5,5,4,3,4
R0004,23,Woman,Java,IDR 10–20M,2,E-commerce,Home care,1260000,12,Sometimes,4.0,4,3,4,3,4,4,4,4,4,3,4,3.0,3,4,4,4,4,4,4,4,3,4,4,3
R0005,27,Woman,Java,IDR 10–20M,4,Minimarket,Home care,1400000,10,Sometimes,2.0,2,2,2,4,5,4,4,4,5,4,4,4.0,3,4,4,4,4,5,4,3,4,3,4,4
R0006,24,Woman,Java,IDR 10–20M,2,Traditional market,Home care,1800000,8,Sometimes,5.0,2,3,3,4,3,4,3,3,3,4,5,5.0,4,3,4,4,3,3,3,3,4,4,4,5
R0007,42,Man,Java,IDR 10–20M,3,Minimarket,Food & beverages,1230000,9,Sometimes,2.0,4,3,3,3,4,3,4,4,4,3,2,4.0,2,2,3,4,4,4,4,5,5,3,4,3
R0008,31,Man,Java,IDR 5–10M,1,E-commerce,Personal care,630000,9,Rarely,4.0,2,3,3,3,3,4,4,4,4,4,3,3.0,5,4,5,4,4,5,4,3,4,3,3,3
R0009,30,Man,Java,< IDR 5M,3,Traditional market,Personal care,390000,8,Sometimes,5.0,4,4,5,4,3,4,4,3,4,3,3,2.0,3,3,3,4,4,4,3,3,3,3,3,3
R0010,26,Man,Kalimantan,< IDR 5M,3,Traditional market,Personal care,710000,7,Sometimes,4.0,4,4,4,3,4,3,3,2,3,3,3,3.0,5,5,5,3,3,3,3,3,3,4,4,3
R0011,37,Man,Java,IDR 10–20M,3,Minimarket,Home care,1360000,10,Sometimes,4.0,4,3,5,3,4,3,3,3,3,3,2,,3,3,3,4,5,4,4,4,4,4,3,3
R0012,25,Woman,Java,IDR 10–20M,2,Supermarket,Personal care,970000,9,Sometimes,5.0,3,3,4,4,4,4,3,3,3,2,2,1.0,3,2,3,4,4,4,3,2,3,3,3,3
